model,n_estimators,max_depth,learning_rate,precision_score,recall_score,f1_score,roc_auc_score
GradietnBoostingDecisionTree,100,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9273182957393484
GradietnBoostingDecisionTree,100,3,0.001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9273182957393484
GradietnBoostingDecisionTree,100,3,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9360902255639098
GradietnBoostingDecisionTree,100,3,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9423558897243108
GradietnBoostingDecisionTree,100,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9335839598997494
GradietnBoostingDecisionTree,100,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9335839598997494
GradietnBoostingDecisionTree,100,5,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9298245614035088
GradietnBoostingDecisionTree,100,5,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9223057644110276
GradietnBoostingDecisionTree,500,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.924812030075188
GradietnBoostingDecisionTree,500,3,0.001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9235588972431078
GradietnBoostingDecisionTree,500,3,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.93734335839599
GradietnBoostingDecisionTree,500,3,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
GradietnBoostingDecisionTree,500,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9335839598997494
GradietnBoostingDecisionTree,500,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
GradietnBoostingDecisionTree,500,5,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.924812030075188
GradietnBoostingDecisionTree,500,5,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.924812030075188
GradietnBoostingDecisionTree,1000,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9273182957393484
GradietnBoostingDecisionTree,1000,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9360902255639098
GradietnBoostingDecisionTree,1000,3,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9398496240601504
GradietnBoostingDecisionTree,1000,3,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.93734335839599
GradietnBoostingDecisionTree,1000,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9335839598997494
GradietnBoostingDecisionTree,1000,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9298245614035088
GradietnBoostingDecisionTree,1000,5,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.924812030075188
GradietnBoostingDecisionTree,1000,5,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9273182957393484
GradietnBoostingDecisionTree,1200,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9273182957393484
GradietnBoostingDecisionTree,1200,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9360902255639098
GradietnBoostingDecisionTree,1200,3,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9423558897243108
GradietnBoostingDecisionTree,1200,3,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9298245614035088
GradietnBoostingDecisionTree,1200,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9335839598997494
GradietnBoostingDecisionTree,1200,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9298245614035088
GradietnBoostingDecisionTree,1200,5,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9197994987468672
GradietnBoostingDecisionTree,1200,5,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9298245614035088
GradietnBoostingDecisionTree,1400,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.924812030075188
GradietnBoostingDecisionTree,1400,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9360902255639098
GradietnBoostingDecisionTree,1400,3,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9423558897243108
GradietnBoostingDecisionTree,1400,3,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9298245614035088
