model,gamma,kernel,C,precision_score,recall_score,f1_score,roc_auc_score
SVC,1e-05,rbf,0.001,0.05,1,0.095238095,0.5
SVC,1e-05,rbf,0.031622777,0.05,1,0.095238095,0.5
SVC,1e-05,rbf,1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9273182957393483
SVC,1e-05,rbf,31.622776601683793,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9097744360902256
SVC,1e-05,rbf,1000,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9072681704260652
SVC,0.001,rbf,0.001,0.05,1,0.095238095,0.5
SVC,0.001,rbf,0.031622777,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9223057644110275
SVC,0.001,rbf,1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9097744360902256
SVC,0.001,rbf,31.622776601683793,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9097744360902256
SVC,0.001,rbf,1000,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9097744360902256
SVC,0.1,rbf,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.912280702
SVC,0.1,rbf,0.031622777,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.92481203
SVC,0.1,rbf,1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.92481203
SVC,0.1,rbf,31.622776601683793,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8308270676691729
SVC,0.1,rbf,1000,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.8132832080200502
SVC,10,rbf,0.001,0.05,1,0.095238095,0.5
SVC,10,rbf,0.031622777,0.3119047619047619,0.38095238095238093,0.3219954648526077,0.5576441102756893
SVC,10,rbf,1,0.09047619,0.9047619047619048,0.1292517006802721,0.543859649
SVC,10,rbf,31.622776601683793,0.09047619,0.9047619047619048,0.1292517006802721,0.543859649
SVC,10,rbf,1000,0.09047619,0.9047619047619048,0.1292517006802721,0.543859649
SVC,1000,rbf,0.001,0.05,1,0.095238095,0.5
SVC,1000,rbf,0.031622777,0.05,1,0.095238095,0.5
SVC,1000,rbf,1,0.05,1,0.095238095,0.5
SVC,1000,rbf,31.622776601683793,0.05,1,0.095238095,0.5
SVC,1000,rbf,1000,0.05,1,0.095238095,0.5
SVC,1e-05,sigmoid,0.001,0.05,1,0.095238095,0.5
SVC,1e-05,sigmoid,0.031622777,0.05,1,0.095238095,0.5
SVC,1e-05,sigmoid,1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.92481203
SVC,1e-05,sigmoid,31.622776601683793,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9172932330827068
SVC,1e-05,sigmoid,1000,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9072681704260652
SVC,0.001,sigmoid,0.001,0.05,1,0.095238095,0.5
SVC,0.001,sigmoid,0.031622777,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.92481203
SVC,0.001,sigmoid,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9072681704260652
SVC,0.001,sigmoid,31.622776601683793,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9072681704260652
SVC,0.001,sigmoid,1000,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9097744360902256
SVC,0.1,sigmoid,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9197994987468672
SVC,0.1,sigmoid,0.031622777,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6867167919799498
SVC,0.1,sigmoid,1,0.095238095,0.095238095,0.095238095,0.6290726817042607
SVC,0.1,sigmoid,31.622776601683793,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6215538847117795
SVC,0.1,sigmoid,1000,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.7117794486215538
SVC,10,sigmoid,0.001,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6516290726817042
SVC,10,sigmoid,0.031622777,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.456140351
SVC,10,sigmoid,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4511278195488722
SVC,10,sigmoid,31.622776601683793,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4511278195488722
SVC,10,sigmoid,1000,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4486215538847118
SVC,1000,sigmoid,0.001,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6917293233082707
SVC,1000,sigmoid,0.031622777,0.095238095,0.095238095,0.095238095,0.5639097744360902
SVC,1000,sigmoid,1,0.095238095,0.095238095,0.095238095,0.5614035087719299
SVC,1000,sigmoid,31.622776601683793,0.095238095,0.095238095,0.095238095,0.5413533834586467
SVC,1000,sigmoid,1000,0.095238095,0.095238095,0.095238095,0.5614035087719299
SVC,1.00E-05,linear,0.001,0.428571429,0.428571429,0.428571429,0.90726817
SVC,1.00E-05,linear,0.031622777,0.476190476,0.476190476,0.476190476,0.90726817
SVC,1.00E-05,linear,1,0.476190476,0.476190476,0.476190476,0.90726817
SVC,1.00E-05,linear,31.6227766,0.476190476,0.476190476,0.476190476,0.90726817
