model,hidden_layer_sizes,activation,solver,alpha,precision_score,recall_score,f1_score,roc_auc_score
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8270676691729324
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8596491228070176
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,1.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8947368421052632
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,1e-05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8847117794486216
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,0.0001,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8220551378446116
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8771929824561404
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7744360902255639
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9398496240601504
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,1.0,0.05,1.0,0.09523809523809523,0.5
MLPClassifier,"(10, 10, 10, 10)",logistic,sgd,1e-05,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,sgd,0.0001,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,sgd,0.001,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,sgd,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,sgd,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,sgd,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7994987468671679
MLPClassifier,"(10, 10, 10, 10)",logistic,lbfgs,1e-05,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,lbfgs,0.0001,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,lbfgs,0.001,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,lbfgs,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,lbfgs,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",logistic,lbfgs,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",identity,adam,1e-05,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(10, 10, 10, 10)",identity,adam,0.0001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(10, 10, 10, 10)",identity,adam,0.001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(10, 10, 10, 10)",identity,adam,0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(10, 10, 10, 10)",identity,adam,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(10, 10, 10, 10)",identity,adam,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(10, 10, 10, 10)",identity,sgd,1e-05,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
