model,hidden_layer_sizes,activation,solver,alpha,precision_score,recall_score,f1_score,roc_auc_score
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,1e-05,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8646616541353384
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,0.0001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8471177944862156
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,0.001,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8922305764411028
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8320802005012532
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.899749373433584
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,1e-05,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8822055137844612
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,0.0001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8822055137844612
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8796992481203008
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8721804511278196
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8796992481203008
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9323308270676692
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,1e-05,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8345864661654135
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8320802005012532
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,0.001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.899749373433584
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.87468671679198
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8671679197994988
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.87468671679198
MLPClassifier,"(10, 10, 10, 10)",relu,adam,1e-05,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.9022556390977444
MLPClassifier,"(10, 10, 10, 10)",relu,adam,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.899749373433584
MLPClassifier,"(10, 10, 10, 10)",relu,adam,0.001,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8972431077694236
MLPClassifier,"(10, 10, 10, 10)",relu,adam,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8521303258145364
MLPClassifier,"(10, 10, 10, 10)",relu,adam,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9273182957393484
MLPClassifier,"(10, 10, 10, 10)",relu,adam,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9323308270676691
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,1e-05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8972431077694236
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,0.0001,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9022556390977444
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.912280701754386
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8972431077694236
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,0.1,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8646616541353384
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,1.0,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9147869674185464
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,1e-05,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8972431077694236
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,0.0001,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8922305764411028
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,0.001,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.899749373433584
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,0.01,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.887218045112782
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,0.1,0.40476190476190477,0.47619047619047616,0.42857142857142855,0.868421052631579
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,1.0,0.5,0.5238095238095238,0.5079365079365079,0.9060150375939849
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,1e-05,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8822055137844612
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,0.0001,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.8897243107769424
MLPClassifier,"(10, 10, 10, 10)",logistic,adam,0.001,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8972431077694236
